validation_sets,topics,alpha,beta,coherence
75% Corpus,2,0.01,0.01,0.369008172238116
75% Corpus,2,0.01,0.21000000000000002,0.3779457563014418
75% Corpus,2,0.01,0.41000000000000003,0.37517980328059564
75% Corpus,2,0.01,0.6100000000000001,0.37981853235262775
75% Corpus,2,0.01,0.81,0.3324804807348196
75% Corpus,2,0.01,symmetric,0.3760206714161153
75% Corpus,2,0.21000000000000002,0.01,0.3881758248351845
75% Corpus,2,0.21000000000000002,0.21000000000000002,0.377104888165922
75% Corpus,2,0.21000000000000002,0.41000000000000003,0.377104888165922
75% Corpus,2,0.21000000000000002,0.6100000000000001,0.37517980328059564
75% Corpus,2,0.21000000000000002,0.81,0.3815952820238193
75% Corpus,2,0.21000000000000002,symmetric,0.377104888165922
75% Corpus,2,0.41000000000000003,0.01,0.3995098345909168
75% Corpus,2,0.41000000000000003,0.21000000000000002,0.26129993656415507
75% Corpus,2,0.41000000000000003,0.41000000000000003,0.32896811208535864
75% Corpus,2,0.41000000000000003,0.6100000000000001,0.32256725748756887
75% Corpus,2,0.41000000000000003,0.81,0.32256725748756887
75% Corpus,2,0.41000000000000003,symmetric,0.32256725748756887
75% Corpus,2,0.6100000000000001,0.01,0.3857546185737973
75% Corpus,2,0.6100000000000001,0.21000000000000002,0.3354219608681098
75% Corpus,2,0.6100000000000001,0.41000000000000003,0.32256725748756887
75% Corpus,2,0.6100000000000001,0.6100000000000001,0.32256725748756887
75% Corpus,2,0.6100000000000001,0.81,0.32256725748756887
75% Corpus,2,0.6100000000000001,symmetric,0.32256725748756887
75% Corpus,2,0.81,0.01,0.38446952824572883
75% Corpus,2,0.81,0.21000000000000002,0.3354219608681098
75% Corpus,2,0.81,0.41000000000000003,0.34219913717241646
75% Corpus,2,0.81,0.6100000000000001,0.32256725748756887
75% Corpus,2,0.81,0.81,0.32256725748756887
75% Corpus,2,0.81,symmetric,0.3257339653847009
75% Corpus,2,symmetric,0.01,0.3857546185737973
75% Corpus,2,symmetric,0.21000000000000002,0.3147493307716666
75% Corpus,2,symmetric,0.41000000000000003,0.32896811208535864
75% Corpus,2,symmetric,0.6100000000000001,0.32256725748756887
75% Corpus,2,symmetric,0.81,0.32256725748756887
75% Corpus,2,symmetric,symmetric,0.32896811208535864
75% Corpus,2,asymmetric,0.01,0.3685346194417488
75% Corpus,2,asymmetric,0.21000000000000002,0.38128940072085593
75% Corpus,2,asymmetric,0.41000000000000003,0.3807544138882996
75% Corpus,2,asymmetric,0.6100000000000001,0.2975030458554646
75% Corpus,2,asymmetric,0.81,0.2802107446385659
75% Corpus,2,asymmetric,symmetric,0.3795868625045589
75% Corpus,3,0.01,0.01,0.3430053266877833
75% Corpus,3,0.01,0.21000000000000002,0.27912177975311064
75% Corpus,3,0.01,0.41000000000000003,0.27365497741671235
75% Corpus,3,0.01,0.6100000000000001,0.27642989023453846
75% Corpus,3,0.01,0.81,0.28624839516997147
75% Corpus,3,0.01,symmetric,0.27365497741671235
75% Corpus,3,0.21000000000000002,0.01,0.3903567748813051
75% Corpus,3,0.21000000000000002,0.21000000000000002,0.31805131804432146
75% Corpus,3,0.21000000000000002,0.41000000000000003,0.28616400475784826
75% Corpus,3,0.21000000000000002,0.6100000000000001,0.2627967213614832
75% Corpus,3,0.21000000000000002,0.81,0.3747920039044863
75% Corpus,3,0.21000000000000002,symmetric,0.28616400475784826
75% Corpus,3,0.41000000000000003,0.01,0.37026326743627225
75% Corpus,3,0.41000000000000003,0.21000000000000002,0.3105766081267003
75% Corpus,3,0.41000000000000003,0.41000000000000003,0.2704465603422422
75% Corpus,3,0.41000000000000003,0.6100000000000001,0.2864571402455645
75% Corpus,3,0.41000000000000003,0.81,0.27240137688095756
75% Corpus,3,0.41000000000000003,symmetric,0.28770058842092244
75% Corpus,3,0.6100000000000001,0.01,0.3676695393036682
75% Corpus,3,0.6100000000000001,0.21000000000000002,0.3205860228405614
75% Corpus,3,0.6100000000000001,0.41000000000000003,0.2882206571623641
75% Corpus,3,0.6100000000000001,0.6100000000000001,0.30385023946631057
75% Corpus,3,0.6100000000000001,0.81,0.319887282410511
75% Corpus,3,0.6100000000000001,symmetric,0.3139923837704854
75% Corpus,3,0.81,0.01,0.38383943186427744
75% Corpus,3,0.81,0.21000000000000002,0.3099045969132203
75% Corpus,3,0.81,0.41000000000000003,0.3092827033321504
75% Corpus,3,0.81,0.6100000000000001,0.30928270333215035
75% Corpus,3,0.81,0.81,0.2992458740039288
75% Corpus,3,0.81,symmetric,0.28699100597111843
75% Corpus,3,symmetric,0.01,0.3657592214443797
75% Corpus,3,symmetric,0.21000000000000002,0.31549525153970753
75% Corpus,3,symmetric,0.41000000000000003,0.2710961368154156
75% Corpus,3,symmetric,0.6100000000000001,0.354986603572673
75% Corpus,3,symmetric,0.81,0.37483082421751207
75% Corpus,3,symmetric,symmetric,0.26927931165765395
75% Corpus,3,asymmetric,0.01,0.39346274558607836
75% Corpus,3,asymmetric,0.21000000000000002,0.31586046730180123
75% Corpus,3,asymmetric,0.41000000000000003,0.3620039248539589
75% Corpus,3,asymmetric,0.6100000000000001,0.2947576696695479
75% Corpus,3,asymmetric,0.81,0.31153169399249747
75% Corpus,3,asymmetric,symmetric,0.3620039248539589
75% Corpus,4,0.01,0.01,0.41697520593452997
75% Corpus,4,0.01,0.21000000000000002,0.3613666716958116
75% Corpus,4,0.01,0.41000000000000003,0.39043646876769134
75% Corpus,4,0.01,0.6100000000000001,0.3290618270895828
75% Corpus,4,0.01,0.81,0.3550262026115313
75% Corpus,4,0.01,symmetric,0.33897298017319677
75% Corpus,4,0.21000000000000002,0.01,0.35612767244699917
75% Corpus,4,0.21000000000000002,0.21000000000000002,0.34036172282654237
75% Corpus,4,0.21000000000000002,0.41000000000000003,0.33623361962595344
75% Corpus,4,0.21000000000000002,0.6100000000000001,0.3164278364191286
75% Corpus,4,0.21000000000000002,0.81,0.4109964968747218
75% Corpus,4,0.21000000000000002,symmetric,0.3356968957195585
75% Corpus,4,0.41000000000000003,0.01,0.33921261372640465
75% Corpus,4,0.41000000000000003,0.21000000000000002,0.3298807332417477
75% Corpus,4,0.41000000000000003,0.41000000000000003,0.3119053059294749
75% Corpus,4,0.41000000000000003,0.6100000000000001,0.3474174549291614
75% Corpus,4,0.41000000000000003,0.81,0.34170712636696077
75% Corpus,4,0.41000000000000003,symmetric,0.34070650392119206
75% Corpus,4,0.6100000000000001,0.01,0.3659984861525156
75% Corpus,4,0.6100000000000001,0.21000000000000002,0.33763640581802834
75% Corpus,4,0.6100000000000001,0.41000000000000003,0.3458710166966905
75% Corpus,4,0.6100000000000001,0.6100000000000001,0.348005849675066
75% Corpus,4,0.6100000000000001,0.81,0.3680928520859771
75% Corpus,4,0.6100000000000001,symmetric,0.3440355682611307
75% Corpus,4,0.81,0.01,0.36584869608363746
75% Corpus,4,0.81,0.21000000000000002,0.3261836524096622
75% Corpus,4,0.81,0.41000000000000003,0.368606135332326
75% Corpus,4,0.81,0.6100000000000001,0.37129600395653023
75% Corpus,4,0.81,0.81,0.3656218501491306
75% Corpus,4,0.81,symmetric,0.343560967608711
75% Corpus,4,symmetric,0.01,0.3633752530200561
75% Corpus,4,symmetric,0.21000000000000002,0.3275654353242349
75% Corpus,4,symmetric,0.41000000000000003,0.3333698639162447
75% Corpus,4,symmetric,0.6100000000000001,0.32404998737537916
75% Corpus,4,symmetric,0.81,0.3790069524968917
75% Corpus,4,symmetric,symmetric,0.34882435115501087
75% Corpus,4,asymmetric,0.01,0.40500256286388314
75% Corpus,4,asymmetric,0.21000000000000002,0.35747602371818965
75% Corpus,4,asymmetric,0.41000000000000003,0.35154514379755597
75% Corpus,4,asymmetric,0.6100000000000001,0.33402513972108355
75% Corpus,4,asymmetric,0.81,0.3272549612255057
75% Corpus,4,asymmetric,symmetric,0.303283191097862
75% Corpus,5,0.01,0.01,0.3204864483515082
75% Corpus,5,0.01,0.21000000000000002,0.36687406757856394
75% Corpus,5,0.01,0.41000000000000003,0.3820534214197155
75% Corpus,5,0.01,0.6100000000000001,0.35650493756986373
75% Corpus,5,0.01,0.81,0.38415834215278977
75% Corpus,5,0.01,symmetric,0.38888778897401033
75% Corpus,5,0.21000000000000002,0.01,0.3180269186684495
75% Corpus,5,0.21000000000000002,0.21000000000000002,0.36828367773740756
75% Corpus,5,0.21000000000000002,0.41000000000000003,0.322406653566443
75% Corpus,5,0.21000000000000002,0.6100000000000001,0.365115107338654
75% Corpus,5,0.21000000000000002,0.81,0.3608126547959515
75% Corpus,5,0.21000000000000002,symmetric,0.38638209659873546
75% Corpus,5,0.41000000000000003,0.01,0.35725211644691435
75% Corpus,5,0.41000000000000003,0.21000000000000002,0.4258421094866387
75% Corpus,5,0.41000000000000003,0.41000000000000003,0.3512260929409044
75% Corpus,5,0.41000000000000003,0.6100000000000001,0.3576615969841766
75% Corpus,5,0.41000000000000003,0.81,0.35382566073629385
75% Corpus,5,0.41000000000000003,symmetric,0.4297350074928591
75% Corpus,5,0.6100000000000001,0.01,0.36527672802621647
75% Corpus,5,0.6100000000000001,0.21000000000000002,0.39840350304168454
75% Corpus,5,0.6100000000000001,0.41000000000000003,0.40591628025689763
75% Corpus,5,0.6100000000000001,0.6100000000000001,0.36477050091710705
75% Corpus,5,0.6100000000000001,0.81,0.3423392607773468
75% Corpus,5,0.6100000000000001,symmetric,0.39278503777541157
75% Corpus,5,0.81,0.01,0.3518829540431291
75% Corpus,5,0.81,0.21000000000000002,0.428086951217091
75% Corpus,5,0.81,0.41000000000000003,0.42175734424822187
75% Corpus,5,0.81,0.6100000000000001,0.35541440723491446
75% Corpus,5,0.81,0.81,0.346324151454607
75% Corpus,5,0.81,symmetric,0.41031668266674826
75% Corpus,5,symmetric,0.01,0.3180269186684495
75% Corpus,5,symmetric,0.21000000000000002,0.36828367773740756
75% Corpus,5,symmetric,0.41000000000000003,0.32215099976406625
75% Corpus,5,symmetric,0.6100000000000001,0.36994036571175215
75% Corpus,5,symmetric,0.81,0.3608126547959515
75% Corpus,5,symmetric,symmetric,0.37977449808224334
75% Corpus,5,asymmetric,0.01,0.47803542842600155
75% Corpus,5,asymmetric,0.21000000000000002,0.46031501827587606
75% Corpus,5,asymmetric,0.41000000000000003,0.45348342644479656
75% Corpus,5,asymmetric,0.6100000000000001,0.3687279035103443
75% Corpus,5,asymmetric,0.81,0.3598716223448939
75% Corpus,5,asymmetric,symmetric,0.4671590977497824
100% Corpus,2,0.01,0.01,0.38821808715333583
100% Corpus,2,0.01,0.21000000000000002,0.23898400399313832
100% Corpus,2,0.01,0.41000000000000003,0.25795299065543553
100% Corpus,2,0.01,0.6100000000000001,0.26580979993587195
100% Corpus,2,0.01,0.81,0.26580979993587195
100% Corpus,2,0.01,symmetric,0.2637715136081741
100% Corpus,2,0.21000000000000002,0.01,0.41052179324877675
100% Corpus,2,0.21000000000000002,0.21000000000000002,0.23898400399313832
100% Corpus,2,0.21000000000000002,0.41000000000000003,0.25942005186661754
100% Corpus,2,0.21000000000000002,0.6100000000000001,0.2637715136081741
100% Corpus,2,0.21000000000000002,0.81,0.26580979993587195
100% Corpus,2,0.21000000000000002,symmetric,0.2637715136081741
100% Corpus,2,0.41000000000000003,0.01,0.418263712100549
100% Corpus,2,0.41000000000000003,0.21000000000000002,0.286082616910399
100% Corpus,2,0.41000000000000003,0.41000000000000003,0.2898717630386618
100% Corpus,2,0.41000000000000003,0.6100000000000001,0.263771513608174
100% Corpus,2,0.41000000000000003,0.81,0.26580979993587195
100% Corpus,2,0.41000000000000003,symmetric,0.25942005186661743
100% Corpus,2,0.6100000000000001,0.01,0.40207487772973244
100% Corpus,2,0.6100000000000001,0.21000000000000002,0.286082616910399
100% Corpus,2,0.6100000000000001,0.41000000000000003,0.2648913789361218
100% Corpus,2,0.6100000000000001,0.6100000000000001,0.26580979993587195
100% Corpus,2,0.6100000000000001,0.81,0.26580979993587195
100% Corpus,2,0.6100000000000001,symmetric,0.26580979993587195
100% Corpus,2,0.81,0.01,0.40207487772973244
100% Corpus,2,0.81,0.21000000000000002,0.2648913789361218
100% Corpus,2,0.81,0.41000000000000003,0.2648913789361218
100% Corpus,2,0.81,0.6100000000000001,0.26084608606340987
100% Corpus,2,0.81,0.81,0.26580979993587195
100% Corpus,2,0.81,symmetric,0.26084608606340987
100% Corpus,2,symmetric,0.01,0.418263712100549
100% Corpus,2,symmetric,0.21000000000000002,0.286082616910399
100% Corpus,2,symmetric,0.41000000000000003,0.2524844458916425
100% Corpus,2,symmetric,0.6100000000000001,0.26580979993587195
100% Corpus,2,symmetric,0.81,0.26580979993587184
100% Corpus,2,symmetric,symmetric,0.25248444589164243
100% Corpus,2,asymmetric,0.01,0.41924182348294925
100% Corpus,2,asymmetric,0.21000000000000002,0.23898400399313832
100% Corpus,2,asymmetric,0.41000000000000003,0.2637715136081741
100% Corpus,2,asymmetric,0.6100000000000001,0.2658097999358719
100% Corpus,2,asymmetric,0.81,0.2690644715438937
100% Corpus,2,asymmetric,symmetric,0.26580979993587195
100% Corpus,3,0.01,0.01,0.40489546746038174
100% Corpus,3,0.01,0.21000000000000002,0.3008207705203629
100% Corpus,3,0.01,0.41000000000000003,0.27514357979295734
100% Corpus,3,0.01,0.6100000000000001,0.26427095497575326
100% Corpus,3,0.01,0.81,0.2735279792449015
100% Corpus,3,0.01,symmetric,0.2947567535307729
100% Corpus,3,0.21000000000000002,0.01,0.40460684175381406
100% Corpus,3,0.21000000000000002,0.21000000000000002,0.29232960806655467
100% Corpus,3,0.21000000000000002,0.41000000000000003,0.27090666706149763
100% Corpus,3,0.21000000000000002,0.6100000000000001,0.2813120017466711
100% Corpus,3,0.21000000000000002,0.81,0.2837252996495781
100% Corpus,3,0.21000000000000002,symmetric,0.2843387280331312
100% Corpus,3,0.41000000000000003,0.01,0.3831958321930917
100% Corpus,3,0.41000000000000003,0.21000000000000002,0.3025901884565463
100% Corpus,3,0.41000000000000003,0.41000000000000003,0.3272129033072149
100% Corpus,3,0.41000000000000003,0.6100000000000001,0.2694799602428033
100% Corpus,3,0.41000000000000003,0.81,0.26684187338711934
100% Corpus,3,0.41000000000000003,symmetric,0.3241328169369054
100% Corpus,3,0.6100000000000001,0.01,0.3709104745243535
100% Corpus,3,0.6100000000000001,0.21000000000000002,0.3254431482130517
100% Corpus,3,0.6100000000000001,0.41000000000000003,0.31546276020867364
100% Corpus,3,0.6100000000000001,0.6100000000000001,0.3608598774642268
100% Corpus,3,0.6100000000000001,0.81,0.3062422885083956
100% Corpus,3,0.6100000000000001,symmetric,0.3320655460860948
100% Corpus,3,0.81,0.01,0.37096450600503905
100% Corpus,3,0.81,0.21000000000000002,0.3180582530598883
100% Corpus,3,0.81,0.41000000000000003,0.3175232533538747
100% Corpus,3,0.81,0.6100000000000001,0.2946792281668333
100% Corpus,3,0.81,0.81,0.29101813014766437
100% Corpus,3,0.81,symmetric,0.3259828664723286
100% Corpus,3,symmetric,0.01,0.36420924733285487
100% Corpus,3,symmetric,0.21000000000000002,0.2941522600621696
100% Corpus,3,symmetric,0.41000000000000003,0.26263082969299817
100% Corpus,3,symmetric,0.6100000000000001,0.2646923054887534
100% Corpus,3,symmetric,0.81,0.2995615736184761
100% Corpus,3,symmetric,symmetric,0.2722300615262047
100% Corpus,3,asymmetric,0.01,0.4198566170600125
100% Corpus,3,asymmetric,0.21000000000000002,0.2935526698864185
100% Corpus,3,asymmetric,0.41000000000000003,0.2729771176429127
100% Corpus,3,asymmetric,0.6100000000000001,0.24828247608090126
100% Corpus,3,asymmetric,0.81,0.2833802538918912
100% Corpus,3,asymmetric,symmetric,0.2716733321924852
100% Corpus,4,0.01,0.01,0.4235221906688609
100% Corpus,4,0.01,0.21000000000000002,0.35865146037074236
100% Corpus,4,0.01,0.41000000000000003,0.3305160817899851
100% Corpus,4,0.01,0.6100000000000001,0.3594200059203941
100% Corpus,4,0.01,0.81,0.3652837866228101
100% Corpus,4,0.01,symmetric,0.35991316190861133
100% Corpus,4,0.21000000000000002,0.01,0.34909798883835214
100% Corpus,4,0.21000000000000002,0.21000000000000002,0.3282450837948661
100% Corpus,4,0.21000000000000002,0.41000000000000003,0.3288482020471579
100% Corpus,4,0.21000000000000002,0.6100000000000001,0.33958557289484304
100% Corpus,4,0.21000000000000002,0.81,0.32364446746901276
100% Corpus,4,0.21000000000000002,symmetric,0.3282450837948661
100% Corpus,4,0.41000000000000003,0.01,0.34839700525848627
100% Corpus,4,0.41000000000000003,0.21000000000000002,0.3295402865636312
100% Corpus,4,0.41000000000000003,0.41000000000000003,0.317004055600594
100% Corpus,4,0.41000000000000003,0.6100000000000001,0.32875714133048595
100% Corpus,4,0.41000000000000003,0.81,0.3651693785977457
100% Corpus,4,0.41000000000000003,symmetric,0.3293844929131288
100% Corpus,4,0.6100000000000001,0.01,0.3801954524596631
100% Corpus,4,0.6100000000000001,0.21000000000000002,0.3622809783453301
100% Corpus,4,0.6100000000000001,0.41000000000000003,0.3492198203886002
100% Corpus,4,0.6100000000000001,0.6100000000000001,0.32730209785530334
100% Corpus,4,0.6100000000000001,0.81,0.3534055180536919
100% Corpus,4,0.6100000000000001,symmetric,0.37878895068048146
100% Corpus,4,0.81,0.01,0.3740564047457888
100% Corpus,4,0.81,0.21000000000000002,0.3696390956814553
100% Corpus,4,0.81,0.41000000000000003,0.34392850322304247
100% Corpus,4,0.81,0.6100000000000001,0.31663843725742097
100% Corpus,4,0.81,0.81,0.3308615954299357
100% Corpus,4,0.81,symmetric,0.3637815453803311
100% Corpus,4,symmetric,0.01,0.34159320902406354
100% Corpus,4,symmetric,0.21000000000000002,0.3282450837948661
100% Corpus,4,symmetric,0.41000000000000003,0.3253803990596704
100% Corpus,4,symmetric,0.6100000000000001,0.33958557289484304
100% Corpus,4,symmetric,0.81,0.3391637517502225
100% Corpus,4,symmetric,symmetric,0.3282450837948661
100% Corpus,4,asymmetric,0.01,0.43220281132726185
100% Corpus,4,asymmetric,0.21000000000000002,0.3483287910088985
100% Corpus,4,asymmetric,0.41000000000000003,0.25851728350126535
100% Corpus,4,asymmetric,0.6100000000000001,0.3783992485604012
100% Corpus,4,asymmetric,0.81,0.3742293894291389
100% Corpus,4,asymmetric,symmetric,0.35125956684755455
100% Corpus,5,0.01,0.01,0.3365095981502345
100% Corpus,5,0.01,0.21000000000000002,0.3868033345460721
100% Corpus,5,0.01,0.41000000000000003,0.39092814957747046
100% Corpus,5,0.01,0.6100000000000001,0.39383211355614833
100% Corpus,5,0.01,0.81,0.4023933878853887
100% Corpus,5,0.01,symmetric,0.37233484760647373
100% Corpus,5,0.21000000000000002,0.01,0.32821870069677217
100% Corpus,5,0.21000000000000002,0.21000000000000002,0.3936150205459338
100% Corpus,5,0.21000000000000002,0.41000000000000003,0.3802387377156422
100% Corpus,5,0.21000000000000002,0.6100000000000001,0.3103157463699481
100% Corpus,5,0.21000000000000002,0.81,0.3699723613947451
100% Corpus,5,0.21000000000000002,symmetric,0.3907847973854977
100% Corpus,5,0.41000000000000003,0.01,0.37721921761920313
100% Corpus,5,0.41000000000000003,0.21000000000000002,0.3806505149027301
100% Corpus,5,0.41000000000000003,0.41000000000000003,0.35555096866844726
100% Corpus,5,0.41000000000000003,0.6100000000000001,0.3680304211633822
100% Corpus,5,0.41000000000000003,0.81,0.34976285586816336
100% Corpus,5,0.41000000000000003,symmetric,0.3806505149027301
100% Corpus,5,0.6100000000000001,0.01,0.39507690099143333
100% Corpus,5,0.6100000000000001,0.21000000000000002,0.38147505630721523
100% Corpus,5,0.6100000000000001,0.41000000000000003,0.39547149834694584
100% Corpus,5,0.6100000000000001,0.6100000000000001,0.3964375588379764
100% Corpus,5,0.6100000000000001,0.81,0.40878294860453146
100% Corpus,5,0.6100000000000001,symmetric,0.39047665374090557
100% Corpus,5,0.81,0.01,0.38019254395907126
100% Corpus,5,0.81,0.21000000000000002,0.3103630930896061
100% Corpus,5,0.81,0.41000000000000003,0.3552070199987115
100% Corpus,5,0.81,0.6100000000000001,0.36164630022601113
100% Corpus,5,0.81,0.81,0.36075222461631745
100% Corpus,5,0.81,symmetric,0.3103630930896061
100% Corpus,5,symmetric,0.01,0.32821870069677217
100% Corpus,5,symmetric,0.21000000000000002,0.3934699829200533
100% Corpus,5,symmetric,0.41000000000000003,0.3802387377156422
100% Corpus,5,symmetric,0.6100000000000001,0.31184130970279794
100% Corpus,5,symmetric,0.81,0.3699723613947451
100% Corpus,5,symmetric,symmetric,0.3906397597596172
100% Corpus,5,asymmetric,0.01,0.4916307847476542
100% Corpus,5,asymmetric,0.21000000000000002,0.378111481014795
100% Corpus,5,asymmetric,0.41000000000000003,0.3735795133576266
100% Corpus,5,asymmetric,0.6100000000000001,0.3462991650407301
100% Corpus,5,asymmetric,0.81,0.347190659041844
100% Corpus,5,asymmetric,symmetric,0.37361225465986386
